like1,parStageTemperatureSum_1,parStageTemperatureSum_2,parStageTemperatureSum_3,parStageTemperatureSum_4,parStageTemperatureSum_5,parBaseDaylength_2,parBaseDaylength_3,parBaseDaylength_4,parDaylengthRequirement_2,parDaylengthRequirement_3,parDaylengthRequirement_4,parSpecificLeafArea_1,parSpecificLeafArea_2,parSpecificLeafArea_3,parSpecificLeafArea_4,parSpecificLeafArea_5,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,chain
902.54596,141.42822,163.63023,305.34625,163.63303,560.78815,4.839246,4.004868,5.1736503,11.674313,15.521008,11.906547,0.0014147845,0.0026936887,0.0019014567,0.0010674912,0.0019967267,191.0,213.0,nan,nan,11908.2,nan,nan,nan,nan,191.0,213.0,nan,nan,11908.2,nan,nan,nan,nan,157.0,181.0,244.0,8949.3,11740.7,18288.1,423.3,0.03,48.9351,157.0,181.0,244.0,8949.3,11740.7,18288.1,423.3,0.03,48.9351,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
676.4304,56.385754,376.85336,181.2935,256.73087,468.92056,0.119748585,4.3406587,1.2685623,13.583807,11.367822,17.463503,0.0019726143,0.0013272834,0.0016788591,0.002770737,0.0024365545,168.0,190.0,234.0,7218.1,12683.2,17884.4,429.8,0.031,40.359756,168.0,190.0,234.0,7218.1,12683.2,17884.4,429.8,0.031,40.359756,170.0,195.0,248.0,9524.0,13758.7,20970.0,449.6,0.027,45.417263,170.0,195.0,248.0,9524.0,13758.7,20970.0,487.7,0.029,45.417263,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1639.8748,63.548008,200.02379,181.2705,173.37111,535.04767,1.0002836,3.2078536,5.1035423,10.42632,12.54068,17.517107,0.0025349406,0.0011299746,0.0026405274,0.0021813014,0.0024292879,151.0,170.0,221.0,10865.9,11799.1,20458.5,470.2,0.029,53.111908,151.0,170.0,221.0,10865.9,11799.1,20458.5,470.2,0.029,53.111908,151.0,170.0,227.0,12178.1,12211.9,21638.0,425.5,0.024,56.28108,151.0,170.0,227.0,12178.1,12211.9,21638.0,467.4,0.026,56.28108,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1656.152,101.7935,152.31374,262.23578,179.2482,536.3062,7.845164,4.851696,1.4911766,12.885257,14.86169,14.528261,0.0011192807,0.0029284174,0.0029648973,0.0015317305,0.0016166583,152.0,176.0,224.0,9267.5,9264.1,16485.6,373.6,0.029,56.21573,152.0,176.0,224.0,9267.5,9264.1,16485.6,373.6,0.029,56.21573,151.0,175.0,233.0,10294.2,10207.4,17747.5,400.6,0.028,58.003662,151.0,175.0,233.0,10294.2,10207.4,17747.5,400.6,0.028,58.003662,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
3724.14,52.54501,158.67574,155.94905,190.96925,301.05637,9.119375,5.9495797,5.424526,13.053037,15.025788,17.64289,0.001106253,0.0020689578,0.0016584492,0.002832633,0.002376211,142.0,164.0,195.0,5881.6,5671.6,9942.1,249.8,0.032,59.158527,142.0,164.0,195.0,5881.6,5671.6,9942.1,249.8,0.032,59.158527,143.0,163.0,200.0,7263.2,6158.4,11887.9,285.0,0.03,61.09742,143.0,163.0,200.0,7263.2,6158.4,11887.9,285.0,0.03,61.09742,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
501.76242,50.068085,377.0888,201.6346,200.92441,495.99323,5.5092664,4.5692945,3.7627792,19.2935,16.05535,15.826204,0.0024420721,0.0023281027,0.0017475269,0.0021312675,0.0022747817,177.0,195.0,242.0,8144.6,13373.9,19081.7,469.4,0.031,42.68278,177.0,195.0,242.0,8144.6,13373.9,19081.7,469.4,0.031,42.68278,179.0,200.0,258.0,9692.1,14094.4,21299.6,457.8,0.026,45.50367,179.0,200.0,258.0,9692.1,14094.4,21299.6,491.7,0.028,45.50367,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1041.1613,79.650055,287.26852,383.69806,191.65807,569.199,8.757485,4.143958,2.2304842,13.474513,19.767653,12.234126,0.0010674907,0.0021269212,0.002656005,0.002121332,0.0021538606,167.0,197.0,nan,nan,11062.6,nan,nan,nan,nan,167.0,197.0,nan,nan,11062.6,nan,nan,nan,nan,167.0,200.0,270.0,9158.9,12156.3,19341.7,443.2,0.03,47.353127,167.0,200.0,270.0,9158.9,12156.3,19341.7,443.2,0.03,47.353127,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
241.50139,109.6879,272.8603,286.5177,70.73458,455.10202,3.2095315,6.3727612,2.574252,17.830366,17.603504,14.867991,0.0027469466,0.0018704579,0.0028121215,0.0011982067,0.0025809833,205.0,223.0,nan,nan,13387.6,nan,nan,nan,nan,205.0,223.0,nan,nan,13387.6,nan,nan,nan,nan,170.0,189.0,238.0,8459.4,13447.4,20017.4,437.8,0.027,42.260235,170.0,189.0,238.0,8459.4,13447.4,20017.4,473.6,0.03,42.260235,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
2038.2357,114.580475,200.40802,330.41443,234.72316,214.88316,7.4506106,0.027587388,5.8242464,17.33128,11.423371,14.644747,0.0016926103,0.0020642697,0.002315048,0.0013159903,0.0016738088,195.0,221.0,242.0,4032.8,13195.0,15400.1,395.3,0.035,26.186844,195.0,221.0,242.0,4032.8,13195.0,15400.1,395.3,0.035,26.186844,162.0,193.0,211.0,4241.7,13413.6,16071.0,388.6,0.035,26.393503,162.0,193.0,211.0,4241.7,13413.6,16071.0,388.6,0.035,26.393503,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1681.4896,94.11272,196.22577,293.7483,78.61566,345.10977,8.980269,8.012461,4.0403585,18.205893,15.569388,16.837328,0.0014465036,0.0019721687,0.0016370321,0.00116481,0.0012779025,162.0,181.0,210.0,6101.2,10484.6,15161.9,361.3,0.032,40.240337,162.0,181.0,210.0,6101.2,10484.6,15161.9,361.3,0.032,40.240337,163.0,182.0,215.0,6358.4,11514.7,16529.3,393.0,0.032,38.46745,163.0,182.0,215.0,6358.4,11514.7,16529.3,393.0,0.032,38.46745,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1370.5166,134.34721,299.32404,227.0256,194.43224,575.5985,1.0041474,0.54778206,7.069159,14.737979,19.071138,15.14851,0.0011683812,0.0012017355,0.0028281207,0.0020475243,0.001466595,218.0,240.0,nan,nan,12395.4,nan,nan,nan,nan,218.0,240.0,nan,nan,12395.4,nan,nan,nan,nan,174.0,197.0,263.0,10025.6,10248.1,18380.4,421.3,0.029,54.54506,174.0,197.0,263.0,10025.6,10248.1,18380.4,421.3,0.029,54.54506,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
3435.1812,80.715355,193.87732,268.35278,142.15482,264.01016,9.244703,1.2716987,5.198004,16.43111,18.554228,17.27941,0.0010172728,0.0018273462,0.002187881,0.0023595684,0.0018027611,156.0,179.0,200.0,4803.6,7094.9,10405.9,262.3,0.034,46.162273,156.0,179.0,200.0,4803.6,7094.9,10405.9,262.3,0.034,46.162273,157.0,178.0,205.0,5985.7,8200.8,12436.6,297.6,0.032,48.129715,157.0,178.0,205.0,5985.7,8200.8,12436.6,297.6,0.032,48.129715,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
673.564,103.90153,273.71133,201.70764,254.6187,475.83264,2.6487734,3.108188,6.4527073,13.148932,16.637804,18.464212,0.002959443,0.0017134174,0.002086092,0.0025811347,0.0027794351,202.0,227.0,nan,nan,13874.1,nan,nan,nan,nan,202.0,227.0,nan,nan,13874.1,nan,nan,nan,nan,166.0,193.0,246.0,9735.6,14290.8,21442.0,449.8,0.026,45.404346,166.0,193.0,246.0,9735.6,14290.8,21442.0,485.9,0.028,45.404346,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
827.1772,98.936035,340.75122,276.59387,195.37961,339.6818,4.672774,5.359281,1.5182102,13.086282,15.797459,19.75016,0.0021258246,0.0029857212,0.0016272145,0.0016941945,0.0026455934,176.0,198.0,228.0,6170.4,13439.9,17554.2,430.2,0.032,35.150562,176.0,198.0,228.0,6170.4,13439.9,17554.2,430.2,0.032,35.150562,175.0,201.0,239.0,7044.6,14128.1,19016.9,437.7,0.03,37.04389,175.0,201.0,239.0,7044.6,14128.1,19016.9,466.5,0.032,37.04389,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
899.4261,99.3031,339.73978,224.53792,243.74817,533.198,1.0241088,4.616834,0.8641352,16.601177,17.351648,11.57184,0.002770972,0.0014329319,0.00241121,0.0029212146,0.0017589474,176.0,197.0,nan,nan,13632.4,nan,nan,nan,nan,176.0,197.0,nan,nan,13632.4,nan,nan,nan,nan,175.0,200.0,262.0,10294.0,14284.3,22012.3,461.4,0.025,46.764763,175.0,200.0,262.0,10294.0,14284.3,22012.3,501.2,0.028,46.764763,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1473.7598,59.296642,196.95007,225.782,180.08757,576.581,1.18685,2.7820191,3.6965725,18.63052,15.166654,14.137733,0.0026515701,0.002054118,0.0010791875,0.0025913583,0.0018333807,155.0,177.0,227.0,10082.8,12855.5,20483.0,479.1,0.03,49.225212,155.0,177.0,227.0,10082.8,12855.5,20483.0,479.1,0.03,49.225212,156.0,176.0,242.0,12277.2,13378.4,22692.9,452.0,0.024,54.1015,156.0,176.0,242.0,12277.2,13378.4,22692.9,488.9,0.026,54.1015,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
486.01666,88.12127,373.77957,292.4511,207.17252,385.97748,9.786702,2.2399492,2.9631267,11.665931,19.891495,15.450264,0.0026511243,0.0024110859,0.0020289912,0.0020235875,0.0013701401,178.0,201.0,238.0,6685.1,13871.9,18647.2,458.2,0.032,35.85042,178.0,201.0,238.0,6685.1,13871.9,18647.2,458.2,0.032,35.85042,180.0,205.0,253.0,8198.1,14519.8,20529.4,448.4,0.027,39.93346,180.0,205.0,253.0,8198.1,14519.8,20529.4,484.9,0.03,39.93346,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1975.5125,70.76645,383.50385,200.15529,243.60089,207.96205,1.5370196,3.9482431,0.95357686,11.4782095,14.001217,10.613199,0.0022663674,0.001905079,0.0016391495,0.0012883546,0.0027468177,172.0,193.0,214.0,4382.5,13195.5,15726.4,395.8,0.035,27.867153,172.0,193.0,214.0,4382.5,13195.5,15726.4,395.8,0.035,27.867153,174.0,198.0,216.0,3955.1,14177.3,16383.8,413.3,0.035,24.140308,174.0,198.0,216.0,3955.1,14177.3,16383.8,416.8,0.035,24.140308,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1422.198,144.73067,237.93564,201.6372,53.262848,287.84683,6.1844935,9.838226,5.0994143,11.635921,18.579405,16.649986,0.002777814,0.0010385701,0.0020218617,0.002894241,0.0019120164,206.0,221.0,nan,nan,13032.9,nan,nan,nan,nan,206.0,221.0,nan,nan,13032.9,nan,nan,nan,nan,180.0,193.0,219.0,4796.3,12703.6,16303.9,408.9,0.033,29.418116,180.0,193.0,219.0,4796.3,12703.6,16303.9,415.9,0.034,29.418116,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
622.9495,68.911125,155.7974,337.21777,261.241,425.66367,4.8011394,4.531619,5.239372,13.546134,13.170707,19.73917,0.0026997125,0.0017591625,0.0017424962,0.0029379088,0.0013739034,148.0,183.0,222.0,8595.5,14502.2,20428.8,471.3,0.031,42.075405,148.0,183.0,222.0,8595.5,14502.2,20428.8,471.3,0.031,42.075405,149.0,184.0,227.0,8935.3,15414.5,20925.5,429.6,0.027,42.70053,149.0,184.0,227.0,8935.3,15414.5,20925.5,466.0,0.029,42.70053,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
