Treatment_number,suite_name,name_of_experiment,treatment_name,cultivar_name,institute_name,field_country,site_name,experiment_name_local,experiment_duration,field_latitude,field_longitude,field_elevation,weather_station_code,soil_profile_ID
TRTNO,SUITE_NAME,EXNAME,TRT_NAME,CUL_NAME,INSTITUTION,FL_LOC_1,SITE_NAME,LOCAL_NAME,EXP_DUR,FL_LAT,FL_LONG,FLELE,WST_ID,SOIL_ID
1,DAS5_W4,sleida,DAS5_W4,soissons,uleida,Spain,uleida,DAS5_W4,300,41.6,0.62,77,LLEI,LLWatelg01
2,DAS5_W8,sleida,DAS5_W8,soissons,uleida,Spain,uleida,DAS5_W8,300,41.6,0.62,77,LLEI,LLWatelg01
3,DAS5_W12,sleida,DAS5_W12,soissons,uleida,Spain,uleida,DAS5_W12,300,41.6,0.62,77,LLEI,LLWatelg01
4,DAS5_W16,sleida,DAS5_W16,soissons,uleida,Spain,uleida,DAS5_W16,300,41.6,0.62,77,LLEI,LLWatelg01
5,DAS5_W20,sleida,DAS5_W20,soissons,uleida,Spain,uleida,DAS5_W20,300,41.6,0.62,77,LLEI,LLWatelg01
6,DAS5_W24,sleida,DAS5_W24,soissons,uleida,Spain,uleida,DAS5_W24,300,41.6,0.62,77,LLEI,LLWatelg01
7,DAS30_W4,sleida,DAS30_W4,soissons,uleida,Spain,uleida,DAS30_W4,300,41.6,0.62,77,LLEI,LLWatelg01
8,DAS30_W8,sleida,DAS30_W8,soissons,uleida,Spain,uleida,DAS30_W8,300,41.6,0.62,77,LLEI,LLWatelg01
9,DAS30_W12,sleida,DAS30_W12,soissons,uleida,Spain,uleida,DAS30_W12,300,41.6,0.62,77,LLEI,LLWatelg01
10,DAS30_W16,sleida,DAS30_W16,soissons,uleida,Spain,uleida,DAS30_W16,300,41.6,0.62,77,LLEI,LLWatelg01
11,DAS30_W20,sleida,DAS30_W20,soissons,uleida,Spain,uleida,DAS30_W20,300,41.6,0.62,77,LLEI,LLWatelg01
12,DAS30_W24,sleida,DAS30_W24,soissons,uleida,Spain,uleida,DAS30_W24,300,41.6,0.62,77,LLEI,LLWatelg01
13,DAS60_W4,sleida,DAS60_W4,soissons,uleida,Spain,uleida,DAS60_W4,300,41.6,0.62,77,LLEI,LLWatelg01
14,DAS60_W8,sleida,DAS60_W8,soissons,uleida,Spain,uleida,DAS60_W8,300,41.6,0.62,77,LLEI,LLWatelg01
15,DAS60_W12,sleida,DAS60_W12,soissons,uleida,Spain,uleida,DAS60_W12,300,41.6,0.62,77,LLEI,LLWatelg01
16,DAS60_W16,sleida,DAS60_W16,soissons,uleida,Spain,uleida,DAS60_W16,300,41.6,0.62,77,LLEI,LLWatelg01
17,DAS60_W20,sleida,DAS60_W20,soissons,uleida,Spain,uleida,DAS60_W20,300,41.6,0.62,77,LLEI,LLWatelg01
18,DAS60_W24,sleida,DAS60_W24,soissons,uleida,Spain,uleida,DAS60_W24,300,41.6,0.62,77,LLEI,LLWatelg01
19,DAS100_W4,sleida,DAS100_W4,soissons,uleida,Spain,uleida,DAS100_W4,300,41.6,0.62,77,LLEI,LLWatelg01
20,DAS100_W8,sleida,DAS100_W8,soissons,uleida,Spain,uleida,DAS100_W8,300,41.6,0.62,77,LLEI,LLWatelg01
21,DAS100_W12,sleida,DAS100_W12,soissons,uleida,Spain,uleida,DAS100_W12,300,41.6,0.62,77,LLEI,LLWatelg01
22,DAS100_W16,sleida,DAS100_W16,soissons,uleida,Spain,uleida,DAS100_W16,300,41.6,0.62,77,LLEI,LLWatelg01
23,DAS100_W20,sleida,DAS100_W20,soissons,uleida,Spain,uleida,DAS100_W20,300,41.6,0.62,77,LLEI,LLWatelg01
