Treatment_number,suite_name,name_of_experiment,treatment_name,cultivar_name,institute_name,field_country,site_name,experiment_name_local,experiment_duration,field_latitude,field_longitude,field_elevation,weather_station_code,soil_profile_ID
24,DAS100_W24,sleida,DAS100_W24,soissons,uleida,Spain,uleida,DAS100_W24,300,41.6,0.62,77,LLEI,LLWatelg01
25,DAS125_W4,sleida,DAS125_W4,soissons,uleida,Spain,uleida,DAS125_W4,300,41.6,0.62,77,LLEI,LLWatelg01
26,DAS125_W8,sleida,DAS125_W8,soissons,uleida,Spain,uleida,DAS125_W8,300,41.6,0.62,77,LLEI,LLWatelg01
27,DAS125_W12,sleida,DAS125_W12,soissons,uleida,Spain,uleida,DAS125_W12,300,41.6,0.62,77,LLEI,LLWatelg01
28,DAS125_W16,sleida,DAS125_W16,soissons,uleida,Spain,uleida,DAS125_W16,300,41.6,0.62,77,LLEI,LLWatelg01
29,DAS125_W20,sleida,DAS125_W20,soissons,uleida,Spain,uleida,DAS125_W20,300,41.6,0.62,77,LLEI,LLWatelg01
30,DAS125_W24,sleida,DAS125_W24,soissons,uleida,Spain,uleida,DAS125_W24,300,41.6,0.62,77,LLEI,LLWatelg01
31,DAS150_W4,sleida,DAS150_W4,soissons,uleida,Spain,uleida,DAS150_W4,300,41.6,0.62,77,LLEI,LLWatelg01
32,DAS150_W8,sleida,DAS150_W8,soissons,uleida,Spain,uleida,DAS150_W8,300,41.6,0.62,77,LLEI,LLWatelg01
33,DAS150_W12,sleida,DAS150_W12,soissons,uleida,Spain,uleida,DAS150_W12,300,41.6,0.62,77,LLEI,LLWatelg01
34,DAS150_W16,sleida,DAS150_W16,soissons,uleida,Spain,uleida,DAS150_W16,300,41.6,0.62,77,LLEI,LLWatelg01
35,DAS150_W20,sleida,DAS150_W20,soissons,uleida,Spain,uleida,DAS150_W20,300,41.6,0.62,77,LLEI,LLWatelg01
36,DAS150_W24,sleida,DAS150_W24,soissons,uleida,Spain,uleida,DAS150_W24,300,41.6,0.62,77,LLEI,LLWatelg01
37,DAS161_W4,sleida,DAS161_W4,soissons,uleida,Spain,uleida,DAS161_W4,300,41.6,0.62,77,LLEI,LLWatelg01
38,DAS161_W8,sleida,DAS161_W8,soissons,uleida,Spain,uleida,DAS161_W8,300,41.6,0.62,77,LLEI,LLWatelg01
39,DAS161_W12,sleida,DAS161_W12,soissons,uleida,Spain,uleida,DAS161_W12,300,41.6,0.62,77,LLEI,LLWatelg01
40,DAS161_W16,sleida,DAS161_W16,soissons,uleida,Spain,uleida,DAS161_W16,300,41.6,0.62,77,LLEI,LLWatelg01
41,DAS161_W20,sleida,DAS161_W20,soissons,uleida,Spain,uleida,DAS161_W20,300,41.6,0.62,77,LLEI,LLWatelg01
42,DAS161_W24,sleida,DAS161_W24,soissons,uleida,Spain,uleida,DAS161_W24,300,41.6,0.62,77,LLEI,LLWatelg01
