2024-06-03 12:44:34.853121 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.16/bin/channel', 'path_to_python': 'python', 'repetitions': '50', 'treatments': '[1,2,3,4,5]'}
2024-06-03 14:27:38.513144 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.16/bin/channel', 'path_to_python': 'python', 'repetitions': '10000', 'treatments': '[1,2,3,4,5]'}
2024-06-03 15:01:49.234036 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.16/bin/channel', 'path_to_python': 'python', 'repetitions': '10000', 'treatments': '[1,2,3,4,5]'}
2024-06-03 16:04:27.014873 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '10000', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 16:14:08.891223 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '500', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 16:23:12.423249 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '500', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 16:32:58.404554 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '10', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 17:05:03.546280 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '10', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 17:10:28.041633 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '10', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 17:18:43.294978 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '10', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 17:21:32.158432 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '10', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 17:22:04.746885 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '10', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 17:30:44.061162 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '10000', 'treatments': '[6,7,8,9,10,11,12,13]'}
2024-06-03 17:35:58.916371 config: {'mode': 'mbm-local-remote', 'prod-port': '6666', 'cons-port': '7777', 'server': 'localhost', 'sim.json': 'sim.json', 'crop.json': 'crop.json', 'site.json': 'site.json', 'setups-file': 'sim_setups_calibration.csv', 'path_to_out': 'out/', 'run-setups': '[1]', 'path_to_channel': 'C:/MONICA/monica_win64_3.6.21/bin/channel', 'path_to_python': 'python', 'repetitions': '10000', 'treatments': '[6,7,8,9,10,11,12,13]'}
