like1,parCriticalOxygenContent_1,parCriticalOxygenContent_2,parCriticalOxygenContent_3,parCriticalOxygenContent_4,parCriticalOxygenContent_5,parCriticalOxygenContent_6,parTimeUnderAnoxiaThreshold_1,parTimeUnderAnoxiaThreshold_2,parTimeUnderAnoxiaThreshold_3,parTimeUnderAnoxiaThreshold_4,parTimeUnderAnoxiaThreshold_5,parTimeUnderAnoxiaThreshold_6,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,chain
2132.2773,0.055618096,0.105551034,0.10614852,0.10698123,0.10677237,0.074799515,12.7819395,1.2415794,3.014464,14.809801,0.2393131,3.457221,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.10758704,0.081395365,0.08411218,0.082662314,0.071870305,0.10727038,10.562565,2.2734294,1.1928438,12.856365,13.078966,14.884749,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.10812185,0.08655965,0.09977608,0.10070189,0.078946255,0.09619904,11.115584,13.833326,3.747446,5.637874,3.8855107,8.281723,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.06371479,0.053447478,0.08863966,0.10070667,0.108326904,0.10422386,6.95565,1.0539552,9.943086,5.5343466,4.1630034,12.460913,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.06749994,0.08038182,0.10656353,0.09109232,0.095878,0.078869,4.1282873,11.912403,14.538869,0.74773043,11.285354,11.37523,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.09218732,0.10776637,0.10144501,0.098930605,0.075482234,0.067911126,4.0722585,11.079431,12.4117565,13.376923,8.459369,0.9803875,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.09429693,0.051642556,0.08877088,0.10341292,0.07548579,0.10653994,3.2979317,3.310065,12.592741,7.1243424,12.031595,11.354265,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.109426305,0.092612706,0.07279021,0.09910261,0.10699139,0.07705436,12.540046,14.167382,3.1151826,11.122659,14.148679,14.557015,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.06826189,0.08972824,0.05357112,0.09108949,0.05653318,0.08116904,13.523584,0.030363958,5.167943,10.05273,10.213049,3.1543877,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.0709699,0.06806287,0.06807321,0.057453696,0.074946105,0.10501895,0.64094657,6.6960597,7.054309,0.55980545,14.282466,2.9185863,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2128.7883,0.07524148,0.05287176,0.1048632,0.05690889,0.07516887,0.07354497,0.9938197,7.86661,14.718911,7.3314676,4.172296,9.469528,8119.1,8119.1,8119.1,8119.1,8119.1,8110.7,8110.7,8110.7,0.0
2132.2773,0.064821854,0.085183315,0.052084632,0.062801406,0.06710319,0.06692708,14.187109,10.380905,2.2584894,7.3606844,6.833441,10.921,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
2132.2773,0.08634706,0.081313446,0.083863884,0.08253197,0.070461534,0.10165715,13.380964,9.192555,11.127693,11.678818,1.9144878,12.146153,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,8119.1,0.0
