like1,parStageTemperatureSum_1,parStageTemperatureSum_2,parStageTemperatureSum_3,parStageTemperatureSum_4,parStageTemperatureSum_5,parBaseDaylength_2,parBaseDaylength_3,parBaseDaylength_4,parDaylengthRequirement_2,parDaylengthRequirement_3,parDaylengthRequirement_4,parSpecificLeafArea_1,parSpecificLeafArea_2,parSpecificLeafArea_3,parSpecificLeafArea_4,parSpecificLeafArea_5,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,chain
2794.6702,61.529118,290.18787,363.377,137.78758,368.64267,2.2055566,8.273981,8.846606,10.264925,14.033457,16.896868,0.0010009562,0.0016042566,0.0020703326,0.0010003607,0.0013479685,163.0,186.0,221.0,5702.8,7523.9,12329.3,297.9,0.032,46.254044,163.0,186.0,221.0,5702.8,7523.9,12329.3,297.9,0.032,46.254044,164.0,190.0,225.0,6156.4,9293.2,14216.4,336.0,0.032,43.304916,164.0,190.0,225.0,6156.4,9293.2,14216.4,336.0,0.032,43.304916,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
2465.3623,88.74936,240.06505,274.08868,188.57965,569.21344,7.8851194,7.6101503,6.6165843,11.506578,11.645097,14.8462515,0.0011457175,0.0014176959,0.0019721454,0.0012739251,0.002157187,161.0,184.0,238.0,6568.4,7907.7,12990.7,310.2,0.031,50.562325,161.0,184.0,238.0,6568.4,7907.7,12990.7,310.2,0.031,50.562325,162.0,186.0,252.0,8966.2,9661.7,16741.2,384.5,0.029,53.55769,162.0,186.0,252.0,8966.2,9661.7,16741.2,384.5,0.029,53.55769,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1773.2681,68.41125,303.12704,315.55728,203.66763,200.63454,5.1374273,6.8546715,6.1740556,19.782629,17.711697,19.30194,0.0027298531,0.0019190252,0.002881413,0.0010153119,0.0010788323,173.0,198.0,218.0,4706.7,13984.4,16870.9,424.2,0.034,27.898335,173.0,198.0,218.0,4706.7,13984.4,16870.9,424.2,0.034,27.898335,176.0,204.0,223.0,3920.1,14640.3,16955.2,416.8,0.034,23.12034,176.0,204.0,223.0,3920.1,14640.3,16955.2,431.9,0.035,23.12034,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1768.3219,87.3067,180.27937,215.08614,58.971035,537.8902,4.6295433,1.1376611,0.7304172,12.675775,12.134592,11.392854,0.0015579438,0.0025627872,0.0015030592,0.001447681,0.0028629734,153.0,166.0,219.0,9258.0,8808.5,16877.1,388.5,0.029,54.855396,153.0,166.0,219.0,9258.0,8808.5,16877.1,388.5,0.029,54.855396,154.0,166.0,224.0,10286.9,9251.9,18118.2,417.6,0.029,56.77661,154.0,166.0,224.0,10286.9,9251.9,18118.2,417.7,0.029,56.77661,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1312.2969,77.834465,389.77457,350.69812,152.29616,502.06644,7.594391,7.527567,0.964339,17.383282,16.349941,11.968477,0.0012619471,0.00100256,0.002676875,0.0013192841,0.0010115718,179.0,199.0,nan,nan,10643.5,nan,nan,nan,nan,179.0,199.0,nan,nan,10643.5,nan,nan,nan,nan,182.0,204.0,271.0,9829.1,11776.0,19968.0,465.8,0.03,49.22426,182.0,204.0,271.0,9829.1,11776.0,19968.0,465.8,0.03,49.22426,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
109.258194,143.80974,270.155,289.1175,212.5725,413.25873,3.8093011,9.373268,8.9116335,10.75184,16.558308,11.973435,0.0024059108,0.0027597332,0.0024480594,0.0017346003,0.0018025317,215.0,238.0,nan,nan,13939.4,nan,nan,nan,nan,215.0,238.0,nan,nan,13939.4,nan,nan,nan,nan,171.0,198.0,243.0,8165.4,14097.6,19923.4,437.9,0.028,40.983967,171.0,198.0,243.0,8165.4,14097.6,19923.4,476.3,0.031,40.983967,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1253.8357,128.1236,150.04315,285.99176,161.18724,283.48376,4.2371416,3.680072,5.803645,14.458143,15.35415,19.639004,0.0025317885,0.0016319326,0.002188984,0.0017295441,0.0028711485,186.0,208.0,236.0,5533.4,12538.0,16241.1,415.3,0.033,34.07035,186.0,208.0,236.0,5533.4,12538.0,16241.1,415.3,0.033,34.07035,154.0,178.0,207.0,6896.6,13496.6,17789.1,396.3,0.029,38.768684,154.0,178.0,207.0,6896.6,13496.6,17789.1,423.1,0.032,38.768684,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1536.3434,62.16068,387.71756,162.139,219.24162,380.67685,1.2166308,6.5332127,6.7102823,17.819466,10.560441,17.165552,0.0010370087,0.0024664328,0.0025651474,0.0021488504,0.0019191814,174.0,191.0,226.0,7107.5,10110.6,15371.2,364.8,0.031,46.23907,174.0,191.0,226.0,7107.5,10110.6,15371.2,364.8,0.031,46.23907,175.0,196.0,237.0,7344.2,11249.7,16747.9,397.1,0.031,43.851467,175.0,196.0,237.0,7344.2,11249.7,16747.9,397.1,0.031,43.851467,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
548.275,107.38855,150.39662,272.57724,252.03262,431.80817,1.4227844,8.886716,6.377084,12.232566,14.347815,11.922123,0.0027786987,0.0016732655,0.001893997,0.002365832,0.0011258619,182.0,204.0,nan,nan,12821.0,nan,nan,nan,nan,182.0,204.0,nan,nan,12821.0,nan,nan,nan,nan,152.0,180.0,223.0,9213.5,14130.6,20276.5,417.8,0.026,45.4393,152.0,180.0,223.0,9213.5,14130.6,20276.5,457.1,0.029,45.4393,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1215.2417,104.92244,310.78015,273.00806,80.206924,526.9606,2.8594193,0.4772832,9.400208,11.288358,17.899126,18.698147,0.0011369311,0.0017947749,0.002680048,0.0019005443,0.00232931,210.0,228.0,nan,nan,11698.9,nan,nan,nan,nan,210.0,228.0,nan,nan,11698.9,nan,nan,nan,nan,172.0,191.0,251.0,8620.6,10335.3,17634.1,410.4,0.03,48.885963,172.0,191.0,251.0,8620.6,10335.3,17634.1,410.4,0.03,48.885963,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
3791.3481,70.270905,209.16415,225.31923,167.80501,459.17526,7.384276,2.7094266,7.0609345,13.873848,15.590762,16.769018,0.0010602535,0.0012775721,0.001529347,0.0024313584,0.002524478,154.0,175.0,218.0,5701.8,5308.7,9721.7,248.0,0.032,58.650234,154.0,175.0,218.0,5701.8,5308.7,9721.7,248.0,0.032,58.650234,155.0,175.0,222.0,7047.5,6533.8,11878.2,286.5,0.03,59.33138,155.0,175.0,222.0,7047.5,6533.8,11878.2,286.5,0.03,59.33138,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
449.0006,112.069565,391.78943,336.41202,217.02638,566.7232,2.8054116,2.1338205,2.0736287,11.347294,13.885739,16.379726,0.0011456573,0.0022693898,0.0019759939,0.0018108825,0.0012492331,231.0,nan,nan,nan,nan,nan,nan,nan,nan,231.0,nan,nan,nan,nan,nan,nan,nan,nan,184.0,209.0,297.0,8472.7,12636.3,18744.7,449.0,0.031,45.20051,184.0,209.0,297.0,8472.7,12636.3,18744.7,449.0,0.031,45.20051,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1847.1237,100.15446,196.76837,294.47958,226.90921,249.68411,8.580779,5.8884554,0.753443,14.91138,15.503154,17.07448,0.001943385,0.0021339622,0.0026184707,0.002155616,0.0023737566,159.0,185.0,205.0,4274.2,12650.7,15286.8,371.4,0.035,27.96007,159.0,185.0,205.0,4274.2,12650.7,15286.8,371.4,0.035,27.96007,158.0,186.0,209.0,5372.8,13847.7,16960.6,398.1,0.032,31.678125,158.0,186.0,209.0,5372.8,13847.7,16960.6,409.3,0.034,31.678125,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
797.8921,70.061325,353.47827,241.46669,169.58006,360.14084,1.3296273,6.0982122,1.342533,11.737483,17.876303,19.924591,0.002641308,0.0028819502,0.0014542372,0.0014845307,0.0018755841,169.0,190.0,224.0,6526.5,13271.3,17933.9,442.4,0.032,36.39197,169.0,190.0,224.0,6526.5,13271.3,17933.9,442.4,0.032,36.39197,171.0,196.0,230.0,6453.9,14223.6,18673.6,429.8,0.03,34.561626,171.0,196.0,230.0,6453.9,14223.6,18673.6,461.3,0.032,34.561626,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
547.8247,54.307186,348.4692,160.63275,271.42572,586.0866,4.6580315,7.391292,7.557503,14.636604,10.307337,10.44978,0.0021905988,0.0028693036,0.002260464,0.0019497812,0.0027644034,165.0,186.0,243.0,7854.8,12804.7,18554.3,447.0,0.031,42.33412,165.0,186.0,243.0,7854.8,12804.7,18554.3,447.0,0.031,42.33412,166.0,191.0,259.0,9618.3,14031.3,20839.7,462.3,0.028,46.153736,166.0,191.0,259.0,9618.3,14031.3,20839.7,501.0,0.03,46.153736,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
950.1647,53.513233,214.80241,311.5921,206.37321,553.51904,8.004621,0.56320846,2.7797189,10.5092535,16.447203,16.372437,0.0025133186,0.0024184103,0.0013843143,0.0014618156,0.0021851568,154.0,181.0,230.0,9244.5,13820.3,20528.8,476.4,0.03,45.031857,154.0,181.0,230.0,9244.5,13820.3,20528.8,476.4,0.03,45.031857,154.0,182.0,243.0,10619.1,14438.6,22026.0,452.9,0.026,48.21166,154.0,182.0,243.0,10619.1,14438.6,22026.0,493.7,0.028,48.21166,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
580.1206,122.40384,159.88219,382.3626,90.67543,499.80875,4.12755,5.3297453,8.226846,12.884495,19.063427,15.278471,0.0015604513,0.0026113163,0.0018575481,0.0025495517,0.0018000259,189.0,212.0,nan,nan,12304.9,nan,nan,nan,nan,189.0,212.0,nan,nan,12304.9,nan,nan,nan,nan,158.0,183.0,238.0,8018.4,12637.2,18851.7,438.2,0.031,42.534096,158.0,183.0,238.0,8018.4,12637.2,18851.7,438.2,0.031,42.534096,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1299.7194,109.07953,390.33044,331.43018,298.2238,209.13782,9.27397,7.901562,6.6312585,19.630009,15.810249,12.961346,0.0016462104,0.001259675,0.0011682978,0.0019510668,0.0026515967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,198.0,227.0,259.0,5761.0,14635.1,18224.8,447.0,0.032,31.610773,198.0,227.0,259.0,5761.0,14635.1,18224.8,456.4,0.033,31.610773,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1704.3164,129.57568,174.6593,222.37515,265.93845,253.89651,0.6914398,9.382077,5.791864,10.870209,15.088576,11.894263,0.0012541319,0.0019255354,0.0022020517,0.0014394158,0.0011480794,191.0,215.0,238.0,5600.0,11853.4,14939.3,369.5,0.033,37.485023,191.0,215.0,238.0,5600.0,11853.4,14939.3,369.5,0.033,37.485023,157.0,183.0,207.0,6635.6,10981.8,14753.5,344.4,0.031,44.976448,157.0,183.0,207.0,6635.6,10981.8,14753.5,344.4,0.031,44.976448,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
901.1805,106.99551,223.31169,382.58163,109.10234,571.9244,2.4659169,4.294227,9.125475,14.622974,11.039475,15.41876,0.00166385,0.0016319995,0.0023272056,0.001580843,0.0027754952,196.0,218.0,nan,nan,12910.0,nan,nan,nan,nan,196.0,218.0,nan,nan,12910.0,nan,nan,nan,nan,162.0,187.0,253.0,10054.6,12717.7,21133.0,463.7,0.028,47.57772,162.0,187.0,253.0,10054.6,12717.7,21133.0,487.4,0.03,47.57772,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
675.5953,94.4451,252.54855,392.8739,181.57956,433.42358,5.399981,6.8091674,6.827561,12.74772,18.961876,11.046208,0.0018775248,0.0023900503,0.001485183,0.0026890845,0.002258154,165.0,195.0,235.0,6347.6,13428.7,17906.0,429.1,0.033,35.44957,165.0,195.0,235.0,6347.6,13428.7,17906.0,429.1,0.033,35.44957,166.0,199.0,247.0,7779.7,14461.6,20030.1,449.5,0.029,38.840046,166.0,199.0,247.0,7779.7,14461.6,20030.1,478.2,0.032,38.840046,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1491.6912,131.80827,217.33255,281.73337,203.1605,222.32059,7.9922633,2.2839158,7.7090316,12.669894,11.841164,17.478722,0.0016605298,0.001972292,0.001570309,0.0029138206,0.0011162256,200.0,224.0,nan,nan,13146.8,nan,nan,nan,nan,200.0,224.0,nan,nan,13146.8,nan,nan,nan,nan,163.0,189.0,209.0,4565.2,12981.7,15876.6,386.1,0.034,28.754267,163.0,189.0,209.0,4565.2,12981.7,15876.6,386.1,0.034,28.754267,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
