name,position in array,low,high,step,optguess,minbound,maxbound,derived params
AssimilatePartitioningCoeff,1|1,0,1,0.1,,,,
BaseDaylength,1,0,30,1,,,,
VernalisationRequirement,1,0,100,10,,,,
DaylengthRequirement,1,0,30,5,,,,
OrganSenescenceRate,1|2,0,0.25,0.05,,,,
SpecificLeafArea,1,0.01,0.02,1,,,,
StageKcFactor,2,0,1.5,0.1,,,,
StageTemperatureSum,3,100,500,20,,,,
