name;position in array;low;high;stepsize;optguess;minbound;maxbound;derived params
StageTemperatureSum;0;50;150;1;;50;100;
StageTemperatureSum;1;150;400;1;;150;400;
StageTemperatureSum;2;150;400;1;;150;400;
StageTemperatureSum;3;50;300;1;;50;300;
StageTemperatureSum;4;200;600;1;;200;600;
BaseDaylength;1;0;10;1;;0;10;
BaseDaylength;2;0;10;1;;0;10;
BaseDaylength;3;0;10;1;;0;10;
DaylengthRequirement;1;10;20;1;;10;20;
DaylengthRequirement;2;10;20;1;;10;20;
DaylengthRequirement;3;10;20;1;;10;20;
SpecificLeafArea;0;0.001;0.003;0.0001;;0.001;0.003;
SpecificLeafArea;1;0.001;0.003;0.0001;;0.001;0.003;
SpecificLeafArea;2;0.001;0.003;0.0001;;0.001;0.003;
SpecificLeafArea;3;0.001;0.003;0.0001;;0.001;0.003;
SpecificLeafArea;4;0.001;0.003;0.0001;;0.001;0.003;
