like1,parStageTemperatureSum_1,parStageTemperatureSum_2,parStageTemperatureSum_3,parStageTemperatureSum_4,parStageTemperatureSum_5,parBaseDaylength_2,parBaseDaylength_3,parBaseDaylength_4,parDaylengthRequirement_2,parDaylengthRequirement_3,parDaylengthRequirement_4,parSpecificLeafArea_1,parSpecificLeafArea_2,parSpecificLeafArea_3,parSpecificLeafArea_4,parSpecificLeafArea_5,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,chain
1122.0262,65.12868,281.41672,207.14583,125.40774,430.04,7.914598,9.087873,2.389833,15.767241,17.600073,11.383549,0.0014731691,0.0023182682,0.0015521271,0.002071355,0.001624206,162.0,179.0,218.0,7617.1,10754.3,16570.1,390.2,0.031,45.968945,162.0,179.0,218.0,7617.1,10754.3,16570.1,390.2,0.031,45.968945,162.0,180.0,222.0,7966.2,11713.3,17690.6,414.7,0.03,45.030693,162.0,180.0,222.0,7966.2,11713.3,17690.6,418.1,0.031,45.030693,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1629.988,109.9244,295.9946,384.0906,132.15923,234.97252,5.883253,7.4770474,9.023704,11.979141,11.440214,12.747153,0.0025320544,0.0016301407,0.0028791574,0.0020188799,0.0023620457,209.0,233.0,nan,nan,13836.9,nan,nan,nan,nan,209.0,233.0,nan,nan,13836.9,nan,nan,nan,nan,172.0,198.0,219.0,4146.6,14256.7,16821.4,415.7,0.034,24.650742,172.0,198.0,219.0,4146.6,14256.7,16821.4,424.3,0.035,24.650742,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1639.3511,73.344505,281.96848,332.8054,259.74884,220.46802,1.9440752,4.2862797,8.436118,19.961111,19.382248,17.34937,0.002672754,0.002605437,0.0022316019,0.0018581505,0.0026788234,172.0,200.0,222.0,4791.6,14312.5,17327.4,430.5,0.034,27.653313,172.0,200.0,222.0,4791.6,14312.5,17327.4,430.5,0.034,27.653313,173.0,205.0,227.0,4293.8,14923.5,17437.8,421.3,0.033,24.62352,173.0,205.0,227.0,4293.8,14923.5,17437.8,441.0,0.035,24.62352,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1063.6178,102.540634,166.5591,222.7769,98.90225,361.69693,8.514322,6.5472116,2.093248,16.36697,19.407576,13.073452,0.00221294,0.0016940746,0.0028164685,0.0015540004,0.002798497,184.0,198.0,233.0,6580.1,11714.5,16789.8,417.1,0.032,39.191055,184.0,198.0,233.0,6580.1,11714.5,16789.8,417.1,0.032,39.191055,155.0,172.0,211.0,8423.0,11709.7,18293.2,402.9,0.028,46.044434,155.0,172.0,211.0,8423.0,11709.7,18293.2,432.4,0.03,46.044434,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
437.76273,142.39609,234.51013,295.592,53.344353,427.34595,2.4214497,0.51797915,2.2518563,10.878528,16.72068,11.487409,0.0028061038,0.0021948253,0.0022528265,0.0026580684,0.0024330134,206.0,221.0,nan,nan,13127.4,nan,nan,nan,nan,206.0,221.0,nan,nan,13127.4,nan,nan,nan,nan,166.0,184.0,226.0,7291.0,13326.2,18735.3,422.0,0.029,38.915844,166.0,184.0,226.0,7291.0,13326.2,18735.3,455.8,0.031,38.915844,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
738.45605,111.19992,334.67874,296.0502,155.70435,572.9457,3.5994081,0.9610308,8.334788,12.577973,17.53029,16.914894,0.0018783254,0.0022564563,0.002858686,0.0014949013,0.0015088948,220.0,nan,nan,nan,nan,nan,nan,nan,nan,220.0,nan,nan,nan,nan,nan,nan,nan,nan,176.0,199.0,270.0,9670.7,13615.0,20986.0,464.5,0.028,46.081673,176.0,199.0,270.0,9670.7,13615.0,20986.0,502.7,0.03,46.081673,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1010.475,74.79262,212.9823,350.15814,233.86938,443.4002,8.074966,3.8083897,1.4025384,16.52093,15.899466,13.677383,0.0017419253,0.001034077,0.0017883887,0.001435031,0.0027955368,158.0,186.0,227.0,6573.9,11691.4,16709.6,393.6,0.032,39.342056,158.0,186.0,227.0,6573.9,11691.4,16709.6,393.6,0.032,39.342056,159.0,190.0,238.0,8984.1,13686.7,20330.9,448.6,0.029,44.18939,159.0,190.0,238.0,8984.1,13686.7,20330.9,472.6,0.03,44.18939,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1413.2594,82.41788,368.5173,344.12515,120.85847,289.61234,8.001159,7.6925225,8.842971,11.16067,10.821033,14.145402,0.0019367312,0.0013753707,0.0012995652,0.0011167157,0.0015512455,176.0,195.0,222.0,5437.0,12868.4,16767.7,411.7,0.033,32.425438,176.0,195.0,222.0,5437.0,12868.4,16767.7,411.7,0.033,32.425438,176.0,199.0,226.0,5151.3,13835.6,17339.8,420.3,0.033,29.707954,176.0,199.0,226.0,5151.3,13835.6,17339.8,428.6,0.034,29.707954,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
442.55255,128.99585,377.06586,190.256,204.73497,529.1458,4.9873624,0.60444164,4.5770164,10.517054,19.545021,13.163885,0.00222829,0.0029288519,0.002694603,0.0023334073,0.0011582756,231.0,nan,nan,nan,nan,nan,nan,nan,nan,231.0,nan,nan,nan,nan,nan,nan,nan,nan,183.0,203.0,272.0,9023.5,13595.5,20260.3,461.1,0.028,44.53784,183.0,203.0,272.0,9023.5,13595.5,20260.3,497.4,0.031,44.53784,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
537.95306,85.491516,312.71158,283.2704,240.81444,461.48972,4.4094014,0.3449473,6.681258,12.576708,17.013386,19.885147,0.0017311131,0.0012571272,0.0017016961,0.0026677945,0.002007764,168.0,196.0,241.0,8189.0,13110.0,18901.7,445.2,0.031,43.324146,168.0,196.0,241.0,8189.0,13110.0,18901.7,445.2,0.031,43.324146,169.0,200.0,255.0,9762.4,14093.7,21390.1,458.6,0.027,45.639805,169.0,200.0,255.0,9762.4,14093.7,21390.1,497.9,0.03,45.639805,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
933.17847,72.43857,262.67618,199.07198,292.1399,589.4669,3.5338209,5.2621984,8.851471,13.549686,16.813063,13.8197775,0.0012690598,0.0025791193,0.0027376127,0.002318864,0.0025496038,160.0,185.0,241.0,9061.3,11197.3,17937.1,411.6,0.03,50.517086,160.0,185.0,241.0,9061.3,11197.3,17937.1,411.6,0.03,50.517086,161.0,188.0,257.0,9832.7,12637.3,19452.9,448.9,0.03,50.546192,161.0,188.0,257.0,9832.7,12637.3,19452.9,449.0,0.03,50.546192,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1713.7675,54.164276,193.7135,190.03804,210.10023,481.34583,7.619667,1.5947379,7.8955708,16.803955,15.549668,11.632296,0.0014348546,0.0016466366,0.002150217,0.0010145804,0.0019579136,152.0,174.0,219.0,8813.2,9111.8,15781.4,362.9,0.029,55.84549,152.0,174.0,219.0,8813.2,9111.8,15781.4,362.9,0.029,55.84549,152.0,174.0,223.0,10279.7,10744.1,18047.2,411.3,0.028,56.960083,152.0,174.0,223.0,10279.7,10744.1,18047.2,411.3,0.028,56.960083,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
114.957565,130.36354,320.5549,398.84085,150.23772,471.30902,1.6327503,8.267525,6.0155535,14.994865,11.554207,15.640548,0.0019691337,0.0026944631,0.0019087237,0.002511901,0.0015650078,224.0,nan,nan,nan,nan,nan,nan,nan,nan,224.0,nan,nan,nan,nan,nan,nan,nan,nan,178.0,204.0,261.0,8278.4,13855.5,20214.0,460.0,0.029,40.953793,178.0,204.0,261.0,8278.4,13855.5,20214.0,489.6,0.031,40.953793,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1050.1139,71.7919,334.08575,348.01144,197.93031,360.8089,0.4942797,8.2618065,5.966431,11.921772,10.561185,12.271057,0.0026794367,0.0021249976,0.0026208507,0.0012799248,0.001776995,169.0,194.0,227.0,5348.2,13742.2,17279.9,429.4,0.034,30.95041,169.0,194.0,227.0,5348.2,13742.2,17279.9,429.4,0.034,30.95041,171.0,199.0,239.0,7271.9,14740.2,19775.7,443.6,0.029,36.771896,171.0,199.0,239.0,7271.9,14740.2,19775.7,476.8,0.031,36.771896,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
2261.4172,77.57359,317.9828,172.45831,161.24474,348.7474,1.3460981,4.4008093,0.44880342,15.144211,18.632961,11.149922,0.0011172534,0.0020121536,0.0012866192,0.0015578666,0.0023419694,166.0,184.0,216.0,6075.1,8953.8,13488.6,325.4,0.032,45.038773,166.0,184.0,216.0,6075.1,8953.8,13488.6,325.4,0.032,45.038773,167.0,186.0,220.0,6448.9,10439.9,15124.9,360.2,0.032,42.637638,167.0,186.0,220.0,6448.9,10439.9,15124.9,360.2,0.032,42.637638,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
522.11743,57.597706,286.55533,246.5998,163.36578,440.91327,2.701182,2.692066,0.27063042,16.71541,13.753026,14.536075,0.0019285631,0.0025701323,0.0014573704,0.002452237,0.0026891674,162.0,183.0,222.0,7374.9,12556.3,17900.7,426.4,0.031,41.198948,162.0,183.0,222.0,7374.9,12556.3,17900.7,426.4,0.031,41.198948,163.0,185.0,229.0,7958.4,13570.3,19161.7,429.4,0.029,41.53285,163.0,185.0,229.0,7958.4,13570.3,19161.7,457.1,0.031,41.53285,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
2112.0442,114.447586,163.48439,168.83463,55.769516,551.22845,4.7826867,1.332854,6.885727,12.227219,11.047851,10.623069,0.002090258,0.0023895164,0.0010728043,0.0014176818,0.002622889,185.0,195.0,nan,nan,10946.9,nan,nan,nan,nan,185.0,195.0,nan,nan,10946.9,nan,nan,nan,nan,152.0,163.0,222.0,11691.9,9448.5,19611.5,420.2,0.026,59.617573,152.0,163.0,222.0,11691.9,9448.5,19611.5,452.9,0.028,59.617573,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
693.8978,74.25111,354.88995,283.5621,97.986496,566.148,5.635757,0.87860507,3.401532,19.343079,10.226476,11.031559,0.0020530142,0.0022947344,0.0029733689,0.001824905,0.0014183049,180.0,195.0,nan,nan,12754.0,nan,nan,nan,nan,180.0,195.0,nan,nan,12754.0,nan,nan,nan,nan,182.0,200.0,271.0,9599.2,13527.8,20943.7,465.0,0.027,45.833355,182.0,200.0,271.0,9599.2,13527.8,20943.7,500.0,0.029,45.833355,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
3423.37,52.478592,343.25778,261.96518,139.91348,201.60896,3.8061283,9.194293,8.216321,14.901259,12.730756,17.346365,0.0011721251,0.0013155801,0.002409063,0.0022793177,0.0016526127,165.0,185.0,202.0,3195.9,8523.0,10791.8,278.4,0.037,29.614151,165.0,185.0,202.0,3195.9,8523.0,10791.8,278.4,0.037,29.614151,167.0,189.0,207.0,4155.0,10419.9,13269.2,326.0,0.035,31.313116,167.0,189.0,207.0,4155.0,10419.9,13269.2,326.0,0.035,31.313116,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
1062.05,54.865036,375.75302,224.38745,195.96121,506.04495,3.6816802,9.912417,2.7029428,10.632352,11.73532,18.176857,0.0013126583,0.0027960914,0.0022190537,0.0026207035,0.002219129,168.0,188.0,238.0,6876.4,11209.5,16558.5,395.2,0.032,41.527916,168.0,188.0,238.0,6876.4,11209.5,16558.5,395.2,0.032,41.527916,170.0,194.0,251.0,7940.9,12575.7,18471.0,440.4,0.031,42.991177,170.0,194.0,251.0,7940.9,12575.7,18471.0,440.4,0.031,42.991177,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
438.90283,102.76864,167.0364,351.20978,122.44754,402.952,1.4054176,7.534903,0.8105093,15.879621,11.0831585,17.788046,0.0023892364,0.0017422081,0.0019190088,0.001669635,0.002217937,184.0,204.0,nan,nan,12484.8,nan,nan,nan,nan,184.0,204.0,nan,nan,12484.8,nan,nan,nan,nan,156.0,180.0,219.0,7834.6,13462.2,19194.4,416.9,0.028,40.817112,156.0,180.0,219.0,7834.6,13462.2,19194.4,449.9,0.031,40.817112,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0
